,Movie,Telling/Showing/Reading,realistic/fiction,Type,Genre,Protagonist wins?,Aliens,Violence,Adult Themes,Femal/Male Protagonist,Dystopian,Romance,War,zombie
Last Samurai,Yes,voice,realistic,cultural,historical,No,no,yes,yes,Male,No,Yes,Yes,No
Last of the Mohicans,Yes,text,realistic,cultural,Historical,No,no,yes,yes,Male,No,Yes,Yes,No
The War of the Worlds (Book),No,text,fiction,alien,Science Fiction,yes,yes,yes,no,Male,Yes,No,Yes,No
War of the worlds (Movie),Yes,text,fiction,alien,Science Fiction,yes,yes,yes,no,Male,Yes,No,Yes,No
Pocahontas,Yes,showing,realistic,cultural,Animation,No,no,yes,no,Female,No,Yes,Yes,No
The Circle,Yes,voice,realistic,privacy,Thriller,yes,no,no,no,Female,No,Yes,No,No
World War Z,No,text,fiction,viral,science fiction horror,yes,no,yes,no,Male,Yes,No,Yes,Yes
Dreamcatcher,No,text,fiction,alien,Science Fiction,yes,yes,yes,no,Male,Yes,No,No,No
Enders Game,No,text,fiction,alien,science fiction,yes,yes,yes,no,Male,Yes,No,Yes,No
I am Legend,Yes,None,fiction,viral,science fiction horror,yes,no,yes,no,Male,Yes,No,No,Yes
